Gender,Age,HeadCircumference,ShoulderWidth,ChestWidth,Belly,Waist,Hips,ArmLength,ShoulderToWaist
1,7,19,10,,,,,,
1,8,22,10,,,,,,
1,5,19,10,,,,,,
1,8,20,12,,,,,,
2,6,20,13,,,,,,
2,4,20,11,,,,,,
1,12,20,13,,,,,,
1,15,20,17,,,,,,
1,13,20,12,,,,,,
1,12,21,14,,,,,,
1,11,20,13,,,,,,
1,13,19,16,,,,,,
2,7,20,12,,,,,,
2,5,20,11,,,,,,
2,7,20,11,,,,,,
1,5,21,12,,,,,,
2,7,21,11,,,,,,
2,6,20,11,,,,,,
2,7,20,11,,,,,,
2,5,21,12,,,,,,
2,5,20,11,,,,,,
2,6,21,13,,,,,,
1,17,21,11,,,,,,
2,5,21,15,,,,,,
1,13,21,8,,,,,,
2,2,18,15,,,,,,
1,10,20,12,,,,,,
2,10,21,12,,,,,,
2,13,22,6,,,,,,
1,10,21,11,,,,,,
1,4,20,17,,,,,,
1,13,20,15,,,,,,
2,4,20,15,,,,,,
